Subjectline,Region,Division,MAP_B&B,Email_Type,tactic_nm,tactic_id,# of Contacts,# of Emails Sent,Delivered,Bounced,Deliver Rate,Opened,Open Rate,Clicked,Click Rate,Sum of Win $
免費文章：實現成功的一次性供應鏈,APJ,SUD,MAP,Awareness,TW-EM2-Email2-IPAC - Taiwan,EM5089212,106,108,100,8,93%,39,36%,8,21%,
使用指南：實現更長期的T細胞工作流程,APJ,To Be Mapped,MAP,Awareness,TW-EM7-Email7-IPAC - Taiwan,EM5088757,1686,1690,1674,16,99%,472,28%,45,10%,
使用Gibco™ 細胞培養添加劑，加速您生物製劑的製程開發,APJ,BCD,Batch & Blast,To Be Mapped,EM5099200_Email on GIBCO cell culture addtives,EM5099200,2458,2458,2458,0,100%,493,20%,8,2%,$552705
今すぐアクセス！mRNA精製のための最新コンテンツ,APJ,To Be Mapped,Batch & Blast,Download,EM5107358_1_BIOPRODOWNLOJP_20231113,EM5107358,5535,5539,5539,0,100%,2657,48%,206,8%,
了解細胞培養的五個主題，有效促進生物製劑開發！,APJ,To Be Mapped,Batch & Blast,Webinar,EM5093762_Knolwedge_Culture_Basic_webinar_email,EM5093762,839,839,825,14,98%,194,23%,10,5%,
了解灌流培養的更多資訊以及它是否適合您,APJ,To Be Mapped,MAP,Awareness,TW - EM1.2-Email1-IPAC - Taiwan,EM5082057,2176,2204,2174,30,99%,663,30%,108,16%,
了解有关灌流法的信息并查询它是否适合您,GC,To Be Mapped,MAP,Awareness,GC - EM1.3-Email1-Greater China,EM5082066,128,132,131,1,99%,55,42%,35,64%,
了解 Dynamis™ 培养基如何让基于腺病毒载体的疫苗更快地推向市场,GC,BCD,Batch & Blast,To Be Mapped,Gibco_Catalog_20220509,EM5092276,2198,2198,2145,53,98%,460,21%,3,1%,$3094
不能錯過的網路研討會：掌握癌細胞培養的基本技術,APJ,To Be Mapped,Batch & Blast,To Be Mapped,EM5092569_GGT-Cancer-webinar-EM3,EM5092569,1032,1032,1031,1,100%,220,21%,56,25%,
下载海报：Treg 细胞活化与扩增,GC,To Be Mapped,MAP,Awareness,GC-EM8-Email8-Greater China,EM5088710,264,276,269,7,97%,104,38%,11,11%,
下载应用文档：持续时间较长的 T 细胞工作流程,GC,To Be Mapped,MAP,Awareness,GC-EM7-Email7-Greater China,EM5088709,272,293,288,5,98%,125,43%,11,9%,
下載關於mRNA疫苗和療法的電子書,APJ,To Be Mapped,Batch & Blast,Awareness,EM5094106_BPG Vaccine Series Email EM3,EM5094106,2005,2005,1970,35,98%,1356,68%,148,11%,
下載mAb製程指南手冊，運用3D互動式工具探索適合您的解決方案,APJ,To Be Mapped,Batch & Blast,Awareness,EM5090921_mAb-campaign-EM2,EM5090921,521,521,519,2,100%,56,11%,6,11%,
"바이오프로세스의 최신 트렌드, Cell culture 신제품을 한 눈에 파악하기",APJ,BCD,Batch & Blast,News Letter,EM5106244_Quarter-3-Gibco-Cell-Culture-Newsletter,EM5106244,1621,1621,1621,0,100%,329,20%,0,0%,$511600
"바이오프로세스의 최신 트렌드, Cell culture 신제품을 한 눈에 파악하기",To Be Mapped,BCD,Batch & Blast,News Letter,EM5106244_Quarter-3-Gibco-Cell-Culture-Newsletter,EM5106244,820,820,820,0,100%,183,22%,8,4%,
끊임없는 과학 발견의 여정 - AAV 생산을 위한 CTS AAV-MAX Lysis Buffer,APJ,To Be Mapped,Batch & Blast,To Be Mapped,EM5106408_CTS-Lysis-Buffer-Launch-Email,EM5106408,1289,1289,1289,0,100%,288,22%,20,7%,
끊임없는 과학 발견의 여정 - AAV 생산을 위한 CTS AAV-MAX Lysis Buffer,To Be Mapped,To Be Mapped,Batch & Blast,To Be Mapped,EM5106408_CTS-Lysis-Buffer-Launch-Email,EM5106408,590,590,590,0,100%,148,25%,5,3%,
モノクローナル抗体生産に革新をもたらす新しい培養システム,APJ,To Be Mapped,Batch & Blast,Awareness,EM5096020_1_BIOPROAWARENJP_20220909,EM5096020,9638,9638,9447,191,98%,7888,82%,357,5%,
バイオ医薬品開発におけるカスタマイズサービスのご案内,APJ,To Be Mapped,Batch & Blast,Awareness,EM5095526_1_BIOPROAWARENJP_20220825,EM5095526,5717,5717,5598,119,98%,3692,65%,142,4%,
バイオ医薬EXPO出展のご案内：来週13日から開催,APJ,To Be Mapped,Batch & Blast,Event,EM5094130_1_BIOPROEVENTSJP_20220705,EM5094130,9183,9183,9159,24,100%,7393,81%,450,6%,
バイオ医薬Expo出展：CentriPAK遠心バッグ,APJ,To Be Mapped,Batch & Blast,Event,EM5093473_1_BIOPROEVENTSJP_20220614,EM5093473,9400,9400,9371,29,100%,7200,77%,329,5%,
パーフュージョン用培地を評価する際の重要ポイントとは？,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP3-Email3-Japan,EM5082313,659,710,698,12,98%,440,62%,258,59%,
パーフュージョン培養向け培地選択で考慮すべきキーポイントとは？,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP2-Email2-Japan,EM5082312,665,722,701,21,97%,470,65%,82,17%,
パーフュージョン培養プロセスで得られるメリットとは？,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP1-Email1-Japan,EM5082311,693,771,759,12,98%,534,69%,300,56%,
パーフュージョン培養の実際と培地の重要性,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP6-Email6-Japan,EM5082316,272,282,279,3,99%,274,97%,119,43%,
パーフュージョン培養に関する質問にお答えします,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP4-Email4-Japan,EM5082314,629,662,650,12,98%,450,68%,169,38%,
パーフュージョン培養に最適な高性能培地のご紹介,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP5-Email5-Japan,EM5082315,378,402,392,10,98%,369,92%,106,29%,
パーフュージョン培養における専門用語のご紹介,APJ,To Be Mapped,MAP,Awareness,Perfusion MAP - JP7-Email7-Japan,EM5082317,232,242,240,2,99%,251,104%,93,37%,
シングルユースバイオリアクターがもたらす次世代のイノベーション,APJ,To Be Mapped,Batch & Blast,Awareness,EM5099436_1_BIOPROAWARENJP_20230117,EM5099436,9629,9628,9628,0,100%,5016,52%,95,2%,
シングルユースバイオリアクター 3000 L・5000 Lのご紹介,APJ,To Be Mapped,Batch & Blast,Awareness,EM5093620_1_BIOPROAWARENJP_20220620,EM5093620,2982,2982,2975,7,100%,2173,73%,338,16%,
これから始める方に最適！qPCRハンドブック無料ダウンロード,APJ,To Be Mapped,Batch & Blast,Download,EM5101280_1_BIOPRODOWNLOJP_20230403,EM5101280,11381,11383,11383,0,100%,5272,46%,336,6%,
コスト削減を可能に！高結合容量Protein A樹脂,APJ,To Be Mapped,Batch & Blast,Awareness,EM5105492_1_BIOPROAWARENJP_20230901,EM5105492,5777,5779,5779,0,100%,2696,47%,187,7%,
お客さまのAAVに適した培地組成の比較評価をサポート,APJ,To Be Mapped,Batch & Blast,Awareness,EM5101531_1_BIOPROAWARENJP_20230417,EM5101531,5510,5511,5511,0,100%,2685,49%,251,9%,
オンライン特別セミナー「ワクチン、遺伝子治療を見据えたmRNAワークフローのトータルソリューション　～開発、製造、品質管理から保管、輸送まで～」,APJ,To Be Mapped,Batch & Blast,Webinar,EM5099548_1_BIOPROWEBINAJP_20230124,EM5099548,9409,9409,9409,0,100%,6619,70%,84,1%,
オンラインセミナー「レンチウイルスの開発と生産ワークフローアップデート　～新製品のご紹介～」,APJ,To Be Mapped,Batch & Blast,Webinar,EM5097350_1_BIOPROWEBINAJP_20221024,EM5097350,9502,9502,9344,158,98%,7029,74%,261,4%,
オンラインセミナー「CHO Innovative Solution Day～培地開発に活用される次世代のマルチオミクス戦略とコンサルテーションサービス、新しいハーベストソリューションのご紹介～」,APJ,To Be Mapped,Batch & Blast,Webinar,EM5102617_1_BIOPROWEBINAJP_20230525,EM5102617,9313,9313,9313,0,100%,4517,49%,87,2%,
Your transition to cGMP chemicals,EMEA,BCD,Batch & Blast,Download,RUO-Whitepaper-Email1-EMEA,EM5104377,10137,10139,10139,0,100%,3163,31%,118,4%,
Your invitation: AAV User Group Meeting,EMEA,PPA,Batch & Blast,Event,AAV-UserGroup-MeetingInvitation-Email11-EMEA,EM5104172,14288,14290,14290,0,100%,6071,42%,368,6%,$284107
Your invitation to our Knowledge Culture Webinar: Downstream AAV challenges,EMEA,To Be Mapped,Batch & Blast,Webinar,2022_Q4_KC DSP AAV Webinar Rerun_Email1-Email15-EMEA,EM5097017,19630,29558,29558,0,100%,7597,26%,969,13%,
Your invitation to our face to face Knowledge Culture workshop,AMER,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,213,213,212,1,100%,145,68%,10,7%,
Your invitation to our face to face Knowledge Culture workshop,EMEA,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,8076,8076,8014,62,99%,6194,77%,1068,17%,
Your invitation to our face to face Knowledge Culture workshop,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,799,799,781,18,98%,657,82%,177,27%,
Your CHO cells deserve Gibco solutions,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM No Edits - AGT Cross-Sell with SU,EM5107217,3326,3326,3326,0,100%,792,24%,46,6%,$455
Your CHO cells deserve Gibco solutions,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM No Edits - AGT Cross-Sell with SU,EM5107217,519,519,519,0,100%,123,24%,23,19%,
Your budget can go further,AMER,SUD,Batch & Blast,Awareness,eP2 BPG-SUD NA Financing Email - Short Version,EM5104573,2580,2580,2580,0,100%,618,24%,54,9%,
Your budget can go further,To Be Mapped,SUD,Batch & Blast,Awareness,eP2 BPG-SUD NA Financing Email - Short Version,EM5104573,212,212,212,0,100%,73,34%,18,25%,
You’re invited—don’t miss out,AMER,To Be Mapped,Batch & Blast,Event,EXP RUSH-BPI West 2022 Preshow email-Americas,EM5089360,3920,3920,3886,34,99%,2095,53%,715,34%,
You’re invited—Bioprocess Next summit,AMER,To Be Mapped,Batch & Blast,Event,eP2-BioProcess Next General Email EM1-Americas,EM5088831,6047,6047,5994,53,99%,2579,43%,889,34%,
You\'re invited: don\'t miss out,AMER,To Be Mapped,Batch & Blast,Event,BPG - New Email - BPI Boston pre-show email,EM5094703,3696,3696,3683,13,100%,2026,55%,406,20%,
You\'re invited: don\'t miss out,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPG - New Email - BPI Boston pre-show email,EM5094703,803,803,778,25,97%,499,62%,453,91%,
Workshop: Technological innovations to advance Cell Therapy Manufacturing,AMER,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,312,312,310,2,99%,244,78%,60,25%,
Workshop: Technological innovations to advance Cell Therapy Manufacturing,EMEA,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,11975,11975,11939,36,100%,9697,81%,1233,13%,
Workshop: Technological innovations to advance Cell Therapy Manufacturing,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,1302,1302,1267,35,97%,1011,78%,354,35%,
Why you should be interested in our new Protein A resin,EMEA,PPA,Batch & Blast,Webinar,PUR2- MabCapture C-to Poster Email 2-EMEA,EM5090223,14940,15132,15042,90,99%,11085,73%,2986,27%,$3042801
Whitepaper: Serum-free media with 3 vaccine cell lines,EMEA,BCD,Batch & Blast,Download,Vaccine-Serum-DownloadWhitepaper-Email1-EMEA,EM5104051,6739,6849,6849,0,100%,1576,23%,125,8%,$1202
Whitepaper: Modularized design with cost saving opportunities,APJ,SUD,Batch & Blast,Download,EM5092434_Modularized design with cost saving opportunities,EM5092434,3722,3722,3717,5,100%,1658,45%,62,4%,$4173
Whitepaper: Modularized design with cost saving opportunities,To Be Mapped,SUD,Batch & Blast,Download,EM5092434_Modularized design with cost saving opportunities,EM5092434,1258,1258,1243,15,99%,572,45%,77,13%,
Whitepaper: Analyzing risk utilizing a modularized and standardized single use manifold design,APJ,SUD,Batch & Blast,Awareness,EM5092384_Analysis-of-manufacturing-risk,EM5092384,4101,4101,4092,9,100%,2025,49%,75,4%,$4277
Whitepaper: Analyzing risk utilizing a modularized and standardized single use manifold design,To Be Mapped,SUD,Batch & Blast,Awareness,EM5092384_Analysis-of-manufacturing-risk,EM5092384,1369,1369,1352,17,99%,672,49%,92,14%,
White paper: vaccine development,AMER,PPA,MAP,Awareness,eT2 BPG-PUR MAP Vacc E Email - GLOBAL,EM5106446,891,891,891,0,100%,253,28%,27,11%,
White paper: vaccine development,APJ,PPA,MAP,Awareness,eT2 BPG-PUR MAP Vacc E Email - GLOBAL,EM5106446,129,129,129,0,100%,56,43%,5,9%,
White paper: vaccine development,EMEA,PPA,MAP,Awareness,eT2 BPG-PUR MAP Vacc E Email - GLOBAL,EM5106446,4462,4462,4462,0,100%,2126,48%,204,10%,
White paper: vaccine development,To Be Mapped,PPA,MAP,Awareness,eT2 BPG-PUR MAP Vacc E Email - GLOBAL,EM5106446,356,356,356,0,100%,179,50%,22,12%,
White paper: single-use technology,AMER,SUD,Batch & Blast,Download,eT1-White Paper 1 of-Email1-Americas,EM5091102,2158,2158,2133,25,99%,1349,63%,420,31%,$972614
White paper: single-use technology,EMEA,SUD,Batch & Blast,Download,eT1-WhitePaper1 of mAb Process Playbook-Email-EMEA,EM5091688,27767,27864,27656,208,99%,16849,60%,3888,23%,$232998
White paper: Serum-free media with 3 vaccine cell lines,AMER,BCD,Batch & Blast,Download,BPG - CCCT- SO EM - no edits - Vaccine - NA,EM5103600,2365,2365,2365,0,100%,657,28%,94,14%,$128763
White paper: Serum-free media with 3 vaccine cell lines,To Be Mapped,BCD,Batch & Blast,Download,BPG - CCCT- SO EM - no edits - Vaccine - NA,EM5103600,209,209,209,0,100%,49,23%,0,0%,
White paper: mAb manufacturing risk analysis,AMER,SUD,Batch & Blast,Awareness,eT2-White Paper 2 of-Email2-Americas,EM5091103,2657,2657,2631,26,99%,1117,42%,266,24%,$933556
White paper: advantages of S.U.B.s,AMER,SUD,MAP,Awareness,eT3-BPG-SUD-MAP DynaDrive Email 4,EM5095465,5328,5330,5330,0,100%,2244,42%,456,20%,
White paper: advantages of S.U.B.s,To Be Mapped,SUD,MAP,Awareness,eT3-BPG-SUD-MAP DynaDrive Email 4,EM5095465,1123,1123,1123,0,100%,538,48%,380,71%,
When only the cleanest containers will do,AMER,SUD,Batch & Blast,Awareness,Revise Existing-SUD Platinum Clean Email-Americas,EM5092501,2001,2001,1979,22,99%,1190,59%,226,19%,$1473791
What you need for T cell therapies,AMER,BCD,MAP,Awareness,CCCT-eT4-MAP Cell Therapy Day 70 EM11-Global,EM5085835,2623,2653,2647,6,100%,1042,39%,345,33%,$35000
What you need for T cell therapies,APJ,BCD,MAP,Awareness,CCCT-eT4-MAP Cell Therapy Day 70 EM11-Global,EM5085835,628,630,627,3,100%,157,25%,6,4%,
What you need for T cell therapies,EMEA,BCD,MAP,Awareness,CCCT-eT4-MAP Cell Therapy Day 70 EM11-Global,EM5085835,586,594,592,2,100%,118,20%,14,12%,
What you need for T cell therapies,To Be Mapped,BCD,MAP,Awareness,CCCT-eT4-MAP Cell Therapy Day 70 EM11-Global,EM5085835,1066,1075,1058,17,98%,331,31%,146,44%,
Welcome to the community,AMER,BCD,Batch & Blast,News Letter,BPG-CCCT-SO No Edits-Gibco Newsletter-Americas,EM5099629,101,101,101,0,100%,18,18%,9,50%,$1014303
Webinar: The way forward in single-use bioprocessing,APJ,SUD,Batch & Blast,Awareness,EM5092496_The-rise-of-SUT-webinar,EM5092496,2154,2154,2148,6,100%,1019,47%,120,12%,
Webinar: single-use technology,AMER,SUD,Batch & Blast,Webinar,BPG-SUD SO SU vs SS webinar email - AMERICAS,EM5106151,1892,1892,1892,0,100%,724,38%,65,9%,
Webinar: Simplify your manufacturing process,EMEA,SUD,Batch & Blast,Webinar,mAB-Playbook_On Demand Webinar Email EMEA,EM5098956,26270,26271,26271,0,100%,7198,27%,869,12%,$161820
Webinar: simplify your biomanufacturing process,AMER,SUD,Batch & Blast,Webinar,BPG-SUD-Email Spin off-North America-mAb Playbook,EM5098476,3266,3266,3266,0,100%,835,26%,78,9%,$17200
Webinar: simplify your biomanufacturing process,APJ,SUD,Batch & Blast,Webinar,EM5099426_Webinar_simplify_your_biomanufacturing_process,EM5099426,4573,4573,4573,0,100%,1004,22%,50,5%,$31182
Webinar: simplify your biomanufacturing process,To Be Mapped,SUD,Batch & Blast,Webinar,EM5099426_Webinar_simplify_your_biomanufacturing_process,EM5099426,1657,1659,1659,0,100%,457,28%,13,3%,
Webinar: MicroSEQ microbial ID system,AMER,To Be Mapped,Batch & Blast,Webinar,RUSH-BPG-PA-New Microbial Identification Knowledge,EM5105650,3413,3413,3413,0,100%,864,25%,62,7%,
Webinar: MicroSEQ microbial ID system,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,RUSH-BPG-PA-New Microbial Identification Knowledge,EM5105650,782,782,782,0,100%,314,40%,32,10%,
Webinar: Innovative single-use technologies for harvest applications,APJ,SUD,Batch & Blast,Webinar,EM5103339_DynaSpin_Webinar_EM1,EM5103339,1965,1973,1973,0,100%,377,19%,39,10%,$14400
Webinar: improve bioprocess workflow,AMER,SUD,Batch & Blast,Webinar,BPG KC single-use bioreactor webinar promo email-A,EM5090363,5077,5077,5050,27,99%,2673,53%,559,21%,$1075716
Webinar: improve bioprocess workflow,AMER,To Be Mapped,Batch & Blast,Webinar,PHA - KC Webinar - Navigating Downstream AAV Manuf,EM5096032,17586,17586,17490,96,99%,7763,44%,785,10%,
Webinar: improve bioprocess workflow,To Be Mapped,SUD,Batch & Blast,Webinar,BPG KC single-use bioreactor webinar promo email-A,EM5090363,2059,2059,2016,43,98%,821,40%,386,47%,
Webinar: improve bioprocess workflow,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,PHA - KC Webinar - Navigating Downstream AAV Manuf,EM5096032,2506,2507,2441,66,97%,1256,50%,391,31%,
Webinar: Implement your perfusion process,AMER,To Be Mapped,MAP,Awareness,MAP-D1D-Perfusion MAP EM4 update-Global,EM5081922,1091,1104,1102,2,100%,972,88%,1026,106%,
Webinar: Implement your perfusion process,APJ,To Be Mapped,MAP,Awareness,MAP-D1D-Perfusion MAP EM4 update-Global,EM5081922,996,999,993,6,99%,531,53%,881,166%,
Webinar: Implement your perfusion process,To Be Mapped,To Be Mapped,MAP,Awareness,MAP-D1D-Perfusion MAP EM4 update-Global,EM5081922,642,642,628,14,98%,477,74%,407,85%,
Webinar: harvest application을 위한 차세대 싱글유즈 테크놀로지,APJ,SUD,Batch & Blast,Webinar,EM5103339_DynaSpin_Webinar_EM1,EM5103339,697,698,698,0,100%,134,19%,6,4%,$14400
Webinar: benefits of using S.U.B.s,AMER,SUD,Batch & Blast,Webinar,BPG KC single-use bioreactor webinar promo email-A,EM5090363,4520,4520,4492,28,99%,1432,32%,354,25%,$1075716
Webinar: benefits of using S.U.B.s,AMER,To Be Mapped,Batch & Blast,Webinar,PHA - KC Webinar - Navigating Downstream AAV Manuf,EM5096032,9220,9220,9156,64,99%,2524,27%,209,8%,
Webinar: benefits of using S.U.B.s,To Be Mapped,SUD,Batch & Blast,Webinar,BPG KC single-use bioreactor webinar promo email-A,EM5090363,1880,1880,1832,48,97%,533,28%,199,37%,
Webinar: benefits of using S.U.B.s,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,PHA - KC Webinar - Navigating Downstream AAV Manuf,EM5096032,1214,1214,1184,30,98%,372,31%,25,7%,
Webinar: affinity chromatography,AMER,PPA,MAP,Awareness,eT3 BPG-PUR MAP Vacc F Email - GLOBAL,EM5106447,896,896,896,0,100%,301,34%,82,27%,
Webinar: affinity chromatography,APJ,PPA,MAP,Awareness,eT3 BPG-PUR MAP Vacc F Email - GLOBAL,EM5106447,129,129,129,0,100%,51,40%,1,2%,
Webinar: affinity chromatography,EMEA,PPA,MAP,Awareness,eT3 BPG-PUR MAP Vacc F Email - GLOBAL,EM5106447,4478,4478,4478,0,100%,2392,53%,104,4%,
Webinar: affinity chromatography,To Be Mapped,PPA,MAP,Awareness,eT3 BPG-PUR MAP Vacc F Email - GLOBAL,EM5106447,357,357,357,0,100%,164,46%,18,11%,
Webinar: Advancing Lentiviral purification,AMER,PPA,Batch & Blast,Webinar,PUR Innovation Webinar Series Email 2,EM5101382,494,499,499,0,100%,129,26%,0,0%,
Webinar: Advancing Lentiviral purification,APJ,PPA,Batch & Blast,Webinar,PUR Innovation Webinar Series Email 2,EM5101382,119,119,119,0,100%,31,26%,2,6%,
Webinar: Advancing Lentiviral purification,EMEA,PPA,Batch & Blast,Webinar,PUR Innovation Webinar Series Email 2,EM5101382,20275,20380,20380,0,100%,5409,27%,165,3%,$58880
Webinar: Advancing Lentiviral purification,To Be Mapped,PPA,Batch & Blast,Webinar,PUR Innovation Webinar Series Email 2,EM5101382,783,786,786,0,100%,192,24%,14,7%,
Webinar: Advances in microbial fermentation,AMER,BCD,Batch & Blast,Webinar,HP - BPG - CCCT - EM - KC Bacto CD Supreme Webinar,EM5103752,3763,3763,3763,0,100%,773,21%,55,7%,$705246
Webinar: Advances in microbial fermentation,To Be Mapped,BCD,Batch & Blast,Webinar,HP - BPG - CCCT - EM - KC Bacto CD Supreme Webinar,EM5103752,191,191,191,0,100%,47,25%,7,15%,
Webinar: Accelerate processing with perfusion,AMER,To Be Mapped,MAP,Awareness,RO-eT5-Perfusion MAP EM6-Global,EM5078955,974,984,982,2,100%,894,91%,765,86%,
Webinar: Accelerate processing with perfusion,APJ,To Be Mapped,MAP,Awareness,RO-eT5-Perfusion MAP EM6-Global,EM5078955,883,885,882,3,100%,510,58%,800,157%,
